url,name,description,adaptive_support,remote_support,duration,test_type
https://www.shl.com/products/product-catalog/view/mq-profile/,MQ Profile,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/ms-access-new/,MS Access (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/ms-excel-new/,MS Excel (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,MS Office Basic Computer Literacy (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,MS Office Basic Computer Literacy (Sim) (New),,No,Yes,30,Simulations
https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,MS PowerPoint (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/ms-word-new/,MS Word (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,MuleSoft Development (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/multitasking-ability/,Multitasking Ability,,No,Yes,30,Ability & Aptitude|Knowledge & Skills|Simulations
https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,Networking and Implementation (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/node-js-new/,Node.js (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/nursing-new/,Nursing (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,Occupational Personality Questionnaire OPQ32r,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/operations-management-new/,Operations Management (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,OPQ Candidate Plus Report,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,OPQ Candidate Report 2.0,,No,Yes,30,Personality & Behavior
